,T,P,Zs,zs
189,778.404259198194,267129.575767339,,[1.0]
190,126.37072701591309,307292.74584974267,,[1.0]
191,121.89330298481389,678585.9633487221,,[1.0]
192,34.69972768381304,333127.23734837654,,[1.0]
193,418.0734340783988,142720.51025553292,,[1.0]
194,166.3509307794069,739069.8131284182,,[1.0]
195,262.6645619980717,473629.1583350919,,[1.0]
196,995.8444308945125,208344.3520807515,,[1.0]
197,226.9170703162175,423049.8030419338,,[1.0]
198,24.682714242128924,298857.22931530845,,[1.0]
199,966.5330550713805,464848.1539522313,,[1.0]
200,66.41438229269123,693115.6605438596,,[0.9999999999999999]
201,114.19012376804626,650728.4649809347,,[1.0]
202,491.68148822328106,758083.084194761,,[1.0]
203,309.50211004252156,159358.63188808033,,[1.0]
204,256.07709448587605,553901.6102105054,,[1.0]
205,562.738415910764,692249.0232125797,,[1.0]
206,225.4193186845518,304465.81609861384,,[1.0]
207,215.38638372563588,545841.9109108669,,[1.0]
208,426.19643090936154,683151.3181802379,,[1.0]
209,873.9251013734811,366416.7169688961,,[1.0]
210,473.4107771016514,898088.8207901763,,[1.0]
211,37.770313915088735,867664.4067929038,,[1.0]
212,586.3843553060948,733725.1801943658,,[0.9999999999999999]
213,367.9936322160394,127776.44252808788,,[1.0]
214,334.6688354052912,609240.8496536532,,[1.0]
215,458.6434184898877,962708.544077421,,[1.0]
216,723.2236488064246,221533.2716928075,,[1.0]
217,644.7722188390851,606940.5089357267,,[1.0]
218,721.0903519167512,833461.2667969842,,[1.0]
219,839.4097204753441,933795.8735571535,,[1.0]
220,450.4151890899853,973894.4753575742,,[1.0]
221,965.2741630874343,210244.785538717,,[1.0]
222,180.5533657707904,519509.6342216856,,[1.0]
223,890.5572106893298,466113.44522030954,,[1.0]
224,636.6137832918413,635948.8663989658,,[1.0]
225,322.94338293790605,476730.46723521553,,[1.0]
226,505.6303129992715,202990.1206176782,,[1.0]
227,888.3684252851134,533593.0035073536,,[1.0]
228,714.3251003398826,106084.31087869327,,[1.0]
229,592.1806333216258,406366.79787363583,,[0.9999999999999999]
230,575.7582598003272,575680.0072599521,,[1.0]
231,562.6450311161067,747959.3982344094,,[0.9999999999999999]
232,705.0201742590451,748404.5180866615,,[1.0]
233,475.01472926869536,933587.8501208164,,[1.0]
234,54.1645577429891,543750.7093683627,,[1.0]
235,719.6042683405258,746167.2698370293,,[1.0]
236,794.600241524091,867112.9422999999,,[1.0]
237,941.8350540089637,602171.7375225074,,[1.0]
238,867.7666447277122,555019.5710418875,,[1.0]
239,571.8843373603052,505861.49988767505,,[0.9999999999999999]
240,816.29044706132,651962.9358757541,,[1.0]
241,595.9377486052671,885932.5334991348,,[1.0]
242,575.5935823973272,835184.7992647348,,[0.9999999999999999]
243,189.74082087687896,891848.2186766084,,[1.0]
244,763.3361891627703,182831.07641542988,,[1.0]
245,282.3943316461922,660240.1748896982,,[1.0]
246,255.20198307322855,724052.5052047687,,[1.0]
247,171.54407396157262,943523.9781055046,,[1.0]
248,201.52403418001916,876852.3420881729,,[1.0]
249,686.4594826749958,839300.2473238864,,[1.0]
250,899.5650706076601,998300.3118851392,,[1.0]
251,652.9927604633633,301054.70108727075,,[1.0]
252,131.91273238038153,539255.05282846,,[1.0]
253,632.8176917608804,686969.0995255284,,[0.9999999999999999]
254,376.6865579982378,440135.1859171781,,[1.0]
255,787.3944804880169,836794.1920392672,,[1.0]
256,62.59935642775585,716967.8257632146,,[1.0]
257,671.0667073901855,305961.67434504797,,[0.9999999999999999]
258,299.1470479740982,783337.8265106502,,[1.0]
259,765.2831713901262,890263.8713530684,,[1.0]
260,568.5540753186585,605889.5765146259,,[1.0]
261,709.060173170677,351139.92625750107,,[1.0]
262,997.6959923077249,825690.5617076631,,[1.0]
263,543.0790429394712,945999.1031228723,,[1.0]
264,655.6370111872114,394017.8946334635,,[1.0]
265,70.558833359048,194139.0331255432,,[1.0]
266,528.5678201128715,648359.9590161191,,[1.0]
267,477.4012622313297,177045.41691017232,,[1.0]
268,407.7832524999801,521465.003224494,,[1.0]
269,614.8250245515314,240998.74662673147,,[1.0]
270,257.08889617682576,886360.193672698,,[1.0]
271,931.8037576988646,277606.5599969137,,[1.0]
272,847.0585075430139,957525.3530346424,,[1.0]
273,876.9295964885298,612937.336902376,,[1.0]
274,219.86466664759192,650331.4500423012,,[1.0]
275,137.33937220429712,393256.1756800997,,[1.0]
276,523.1426277080752,748616.4978902306,,[1.0]
277,264.60853737276614,977848.3477645619,,[0.9999999999999999]
278,934.495150926877,225905.31195948413,,[1.0]
279,907.9033471210323,562567.2703035849,,[0.9999999999999999]
280,515.5265319823762,651108.5177522768,,[0.9999999999999999]
281,924.8882337900038,759380.2218566603,,[1.0]
282,729.3498583431849,963376.1905441119,,[1.0]
283,394.8099454135542,577664.75024158,,[1.0]
284,369.87848125802026,213153.74339213152,,[1.0]
285,223.3228456088151,317411.246386025,,[1.0]
286,931.4380867430383,791579.0202570976,,[1.0]
287,764.6394742565193,404758.5872617487,,[1.0]
288,811.3083929717875,936348.8356332808,,[1.0]
289,693.4765911367303,686715.9559376178,,[1.0]
290,370.39665641377707,619463.7387918325,,[1.0]
291,850.559003024321,622552.4407847247,,[1.0]
292,450.26460016984714,853733.4421518645,,[1.0]
293,566.0891965707344,686893.03505201,,[0.9999999999999999]
294,609.4210725727522,653763.6854947972,,[1.0]
295,525.157033903692,658267.7401976773,,[1.0]
296,55.25316723454675,930084.1589206618,,[1.0]
297,549.0987743649854,659596.5286809615,,[1.0]
298,804.624148934023,376429.63069297693,,[0.9999999999999999]
299,253.01978969705263,157236.26087384578,,[1.0]
300,896.1558695661166,816683.8290678771,,[1.0]
301,968.937120348609,280933.538257994,,[0.9999999999999999]
302,551.4826845719208,345778.5435418044,,[1.0]
303,648.2403070175482,713921.4015629331,,[1.0]
304,785.3549885802811,144519.17198787804,,[1.0]
305,543.903270356526,746318.9812987526,,[1.0]
306,51.59224858087802,813304.578466034,,[1.0]
307,472.48516898502663,818475.5438760013,,[1.0]
308,840.160422562128,562143.1863153351,,[1.0]
309,817.4088008651762,897346.9741567491,,[1.0]
310,599.1366138215085,384659.1441535828,,[1.0]
311,36.1247956250905,208374.0414743261,,[0.9999999999999999]
312,692.7706947896185,107374.06421003434,,[0.9999999999999999]
313,31.488335958409106,876491.7512332562,,[1.0]
314,715.308637216273,313927.2396873757,,[1.0]
315,419.714484463535,298023.77511198935,,[0.9999999999999999]
316,126.4099711036707,506900.6270796327,,[1.0]
317,848.9718113174258,603126.9626198348,,[1.0]
318,163.75349144895583,427543.4937571429,,[0.9999999999999999]
319,119.71512515228218,580301.4643526789,,[1.0]
320,40.95988043059634,134930.28631055128,,[0.9999999999999999]
321,581.6302085741905,144345.55705931943,,[0.9999999999999999]
322,389.6561295227443,856644.7187155144,,[1.0]
323,937.957300657687,485011.1772767964,,[1.0]
324,532.0075963476314,968709.8517382551,,[1.0]
325,990.5348976454064,633743.2389299767,,[1.0]
326,846.6670865774288,955282.5282663065,,[1.0]
327,886.1826848184714,517730.19538157294,,[1.0]
328,408.19989364354353,154800.98457324292,,[1.0]
329,898.3779476612226,357033.2620354772,,[1.0]
330,617.5479910690012,280671.1653654275,,[1.0]
331,681.4402519701381,681275.9787423619,,[1.0]
332,140.07999845152435,357247.8210086715,,[1.0]
333,498.12865911733456,962444.256906072,,[1.0]
334,505.29762713601394,984715.3130699375,,[1.0]
335,679.3287262918521,132697.45141472528,,[1.0]
336,413.97862051107586,472971.88453482237,,[1.0]
337,302.18785914869085,822767.8536727799,,[1.0]
338,589.528365961857,329310.86724504374,,[1.0]
339,278.8338885790013,298808.86161647015,,[1.0]
340,181.20953967115176,953619.5815295842,,[0.9999999999999999]
341,480.7682539254866,142749.9038275361,,[1.0]
342,192.87910376298544,729637.8535320772,,[1.0]
343,482.23217498349743,331710.8138372443,,[1.0]
344,783.9170102829349,898536.7376265236,,[1.0]
345,486.85157936940413,774231.9465867797,,[1.0]
346,608.7197957183125,140588.85786450046,,[0.9999999999999999]
347,848.642310722715,608338.2998886462,,[1.0]
348,552.9891680759997,729732.7025139593,,[0.9999999999999999]
349,720.8661961493827,750596.9442766673,,[1.0]
350,13.217111605600303,394567.66823678924,,[1.0]
351,592.0635807866746,938534.8642263105,,[1.0]
352,355.632343785329,197059.18025245672,,[0.9999999999999999]
353,733.9960323863342,456845.7245931866,,[1.0]
354,196.1574611244486,785781.3829369462,,[1.0]
355,489.17961886469743,715447.9558945738,,[1.0]
356,760.4604856653158,474637.67517605476,,[1.0]
357,499.1228834570376,967342.9953138588,,[1.0]
358,439.16718337508047,151525.6909159282,,[0.9999999999999999]
359,94.84220530199784,170610.93091688803,,[1.0]
360,811.4255219139015,983427.0867258377,,[1.0]
361,85.79260104080379,829378.5143177689,,[0.9999999999999999]
362,339.5985363303281,610228.5891401537,,[1.0]
363,501.49629692879944,340943.74357994884,,[1.0]
364,861.9287364070374,931292.5406800561,,[1.0]
365,133.88536196156727,526402.4294065189,,[1.0]
366,637.911090687861,903614.9554109517,,[1.0]
367,280.1226997329313,323625.5155705444,,[1.0]
368,806.6646434444051,593258.7816796447,,[1.0]
369,691.5399326818257,420348.6932924386,,[0.9999999999999999]
370,783.7176965147243,597672.7054546832,,[1.0]
371,517.2502193242497,389733.7514759705,,[1.0]
372,839.0046942296542,912933.7181224617,,[0.9999999999999999]
373,158.61533910454008,830758.9504019171,,[1.0]
374,85.32665214077551,751378.2942405278,,[1.0]
375,233.59083242005556,775308.0763134001,,[1.0]
376,101.23638988896886,644429.7596400438,,[1.0]
377,885.9545121773286,618716.1811439116,,[1.0]
378,160.83686906117012,350268.38597567205,,[1.0]
379,455.5644141124732,788942.5363238481,,[1.0]
380,602.9539250755774,785599.2127468623,,[1.0]
381,172.5134047615446,594331.7369280627,,[1.0]
382,869.7250133820868,847124.9421706002,,[1.0]
383,529.7581125870454,630079.4251753557,,[1.0]
384,184.4357217287681,308968.0911291561,,[1.0]
385,383.89512972989667,869253.2408780714,,[1.0]
386,176.10742340693494,177526.27892166947,,[1.0]
387,741.0661149988478,104224.60908074504,,[1.0]
388,879.2431746532859,314145.68305774557,,[1.0]
389,937.3302482877539,501640.32768327475,,[1.0]
390,625.3126315858593,648828.3514761837,,[1.0]
391,143.61680329008183,579223.6573614725,,[1.0]
392,551.2157772359704,965482.8291128599,,[1.0]
393,588.8475184890234,156108.52102370045,,[0.9999999999999999]
394,288.17891501194174,579171.4042326454,,[1.0]
395,497.5962686824844,728794.3786216958,,[1.0]
396,728.4101894872581,189891.01777740422,,[0.9999999999999999]
397,716.6831110247332,423864.4861767036,,[0.9999999999999999]
398,590.3353033810253,558955.111629024,,[1.0]
399,797.5599618936026,828765.1116110474,,[1.0]
400,771.0607610808399,236298.24288576742,,[0.9999999999999999]
401,75.80446124636673,760821.9763624092,,[1.0]
402,645.2114778437425,507391.0742202357,,[1.0]
403,90.49125118216546,914110.0708341403,,[1.0]
404,320.65903224454445,362133.78178257064,,[1.0]
405,877.1832085659929,101418.60239151797,,[0.9999999999999999]
406,769.9852133048711,969633.5190689283,,[1.0]
407,90.39909638867877,153325.6743143151,,[1.0]
408,706.7083386720026,625320.1590391133,,[1.0]
409,79.82977095167465,348673.40776239696,,[1.0]
410,120.38002286402237,776821.0148775118,,[1.0]
411,104.59655713250557,415168.83174840733,,[1.0]
412,437.61842831720065,539649.8359457753,,[1.0]
413,611.4959561850103,474935.6747626222,,[1.0]
414,512.6779041131638,176022.9421736933,,[1.0]
415,226.10365893665832,437116.6724969704,,[0.9999999999999999]
416,758.2412682387236,689005.4947228386,,[1.0]
417,431.49119611971724,450000.097981407,,[1.0]
418,36.883989536052106,500208.3992501423,,[1.0]
419,307.9273323794635,604995.3043800672,,[1.0]
420,232.27000448210296,645336.820346396,,[1.0]
421,503.2388941763094,645470.8290659034,,[0.9999999999999999]
422,887.1269571901254,302600.50411616266,,[1.0]
423,455.88260794815216,597169.6723809913,,[0.9999999999999999]
424,503.95167866306736,139826.05969599745,,[1.0]
425,787.3509155506547,576922.7215781852,,[1.0]
426,414.84549087454997,992890.0197885731,,[1.0]
427,190.54401423743425,592620.0396331022,,[1.0]
428,743.9050855699508,469226.57778888394,,[1.0]
429,907.4745493252742,410393.41794962506,,[1.0]
430,306.09859045082374,150533.74740736742,,[1.0]
431,905.8355453898304,201887.6825571784,,[1.0]
432,405.27980738839983,612287.6737176958,,[1.0]
433,990.2688701802597,165400.5044053312,,[1.0]
434,463.22890762938823,918510.0456774221,,[1.0]
435,910.0314449487361,873957.694408913,,[1.0]
436,119.69922329669916,522670.0681718984,,[1.0]
437,137.37724240990718,189380.77139441945,,[1.0]
438,604.3066692128418,546607.6517074693,,[1.0]
439,307.15782120025386,406241.42013907386,,[0.9999999999999999]
440,839.5609813147394,413789.89674369025,,[1.0]
441,657.092975293108,379103.3957455976,,[1.0]
442,380.72875613371536,680855.4738387014,,[1.0]
443,917.5915815450818,703167.242375178,,[1.0]
444,411.8840326026041,252733.23255758407,,[1.0]
445,718.7862937309117,313976.43689681526,,[0.9999999999999999]
446,387.3083499055869,470693.65070333815,,[1.0]
447,546.2295178247224,519766.7604748246,,[1.0]
448,513.4948197119352,722347.4391859659,,[1.0]
449,990.5391317493579,870844.6635030863,,[1.0]
450,44.224462948223085,104384.30845769064,,[1.0]
451,362.9462063028564,285027.8738004519,,[1.0]
452,452.8986056506929,904074.1373218095,,[1.0]
453,272.5812943077704,634281.1899014926,,[1.0]
454,883.499220409294,609966.7400719293,,[0.9999999999999999]
455,589.4556260748822,669195.246071529,,[1.0]
456,87.88412788769557,801333.3341429277,,[1.0]
457,546.3680065936808,605386.9373950653,,[1.0]
458,211.39324935033676,670273.2246398497,,[1.0]
459,366.9004522628923,311149.6794467036,,[1.0]
460,12.67221036322491,679677.2380321764,,[1.0]
461,233.4916387813737,382508.9710404024,,[1.0]
462,832.736939741726,173218.17031376483,,[1.0]
463,34.25631075845446,369280.2161105294,,[1.0]
464,525.1610367319961,171469.29647836735,,[0.9999999999999999]
465,375.17203984964914,799013.6644365105,,[1.0]
466,92.56031276313256,509841.708148587,,[0.9999999999999999]
467,580.1122405495216,309507.4051158936,,[1.0]
468,929.8397906486455,270930.2430512847,,[1.0]
469,854.8075011022245,779751.5904447843,,[1.0]
470,663.6478117704982,806714.3434533126,,[1.0]
471,356.8491558772493,641645.7632989272,,[1.0]
472,213.24860283555884,368860.39152625756,,[1.0]
473,238.09781865655196,254210.58466361798,,[1.0]
474,509.16441294040857,744733.4922503574,,[1.0]
475,661.0048372078184,417134.09827228537,,[1.0]
476,462.63032284725733,956134.3498917856,,[1.0]
477,762.0414256814308,640168.3549242376,,[1.0]
478,817.5933759473609,974669.7328852962,,[1.0]
479,702.6974400186559,823018.5080277411,,[0.9999999999999999]
480,968.7067359821059,681202.3610212115,,[1.0]
481,636.1509186826713,595036.3730176417,,[0.9999999999999999]
482,42.67280927181813,623939.1203122055,,[0.9999999999999999]
483,648.6810453893798,818933.1082997598,,[1.0]
484,606.0574261523391,392745.55223003286,,[1.0]
485,890.7859191551123,213756.88717171323,,[1.0]
486,332.5305574351379,996440.4041398575,,[1.0]
487,849.7473814475003,151148.31628388114,,[1.0]
488,328.21635718045616,818210.4432296153,,[1.0]
489,457.384628478699,597557.9073766279,,[1.0]
490,536.0497113507125,671405.9402801291,,[1.0]
491,48.00498767253675,520171.8115685028,,[1.0]
492,465.3019214079685,973417.5964188625,,[1.0]
493,690.8295049607896,489801.8046161155,,[1.0]
494,351.7911310676283,627604.4925642215,,[1.0]
495,274.0444018046534,829702.0424360748,,[1.0]
496,939.3257590225572,344807.23344634846,,[1.0]
497,419.76651257732146,900633.056017064,,[1.0]
498,497.9149248800564,900018.8648742265,,[1.0]
499,769.8602934702355,972049.5604927049,,[1.0]
500,192.22764625236294,181130.52905872004,,[1.0]
501,833.3204763209233,287335.7737336978,,[1.0]
502,483.47527811317997,323494.3277000991,,[1.0]
503,445.4741713257666,262384.2788082918,,[1.0]
504,931.5079207541523,207502.18493141021,,[1.0]
505,345.41263340385143,653601.7721540799,,[1.0]
506,590.2159225056196,702503.3290158297,,[1.0]
507,856.3247623986434,676054.5682455832,,[1.0]
508,210.93811362443745,834291.1208221867,,[1.0]
509,388.4905516801603,712466.7394138682,,[0.9999999999999999]
510,536.0791290611169,959657.4435686265,,[0.9999999999999999]
511,346.5619348683627,276000.6897660352,,[1.0]
512,97.79508268292548,474494.4187096259,,[1.0]
513,606.1319393162482,903929.8070296409,,[1.0]
514,356.3584560342128,665485.0613780614,,[1.0]
515,62.71466552846515,833477.3318227044,,[0.9999999999999999]
516,403.2534959134598,519979.7767481845,,[1.0]
517,134.21007958718113,852134.8851728719,,[1.0]
518,244.78468984235596,147775.51084084128,,[1.0]
519,395.8984849770817,246203.25327685964,,[0.9999999999999999]
520,234.07571439564236,252291.29467816406,,[1.0]
521,393.39344624677364,474473.5473688521,,[1.0]
522,134.81393589943045,951783.3243208253,,[1.0]
523,356.0802338595878,877370.9352480271,,[1.0]
524,936.1625867556986,433592.2189431505,,[1.0]
525,105.13670524267188,312897.6490740819,,[1.0]
526,325.5983368296961,426851.25187499984,,[1.0]
527,225.48976363764982,534453.2094616273,,[0.9999999999999999]
528,184.79810850803065,420978.8462326582,,[1.0]
529,173.4986943164101,177742.53572720522,,[1.0]
530,320.4438551579062,304460.76239543734,,[1.0]
531,591.8035981873203,895667.576580777,,[0.9999999999999999]
532,290.8396108177326,247103.44526490662,,[0.9999999999999999]
533,745.4188947334967,951258.5434431939,,[1.0]
534,541.2496899947645,426818.03911948693,,[1.0]
535,616.8638665840863,985147.0750383458,,[0.9999999999999999]
536,275.88215686741006,294088.59051753336,,[0.9999999999999999]
537,192.76722665207737,158631.5746039937,,[0.9999999999999999]
538,525.7085449699252,384621.69714457187,,[1.0]
539,616.0419146808978,384908.6320262706,,[1.0]
540,450.09475691376275,580430.2255038274,,[1.0]
541,665.425586179518,884708.529326391,,[1.0]
542,541.359279718097,459809.1495186453,,[0.9999999999999999]
543,410.5571845686821,969616.8865687418,,[1.0]
544,531.9539654113242,396598.366464695,,[1.0]
545,546.292448059543,475194.0657482398,,[1.0]
